lon,lat,depth,dFe_obs
136.61,29.994,78.0,0.38
136.61,29.995,96.3,0.39
136.61,29.995,124.1,0.54
136.61,29.995,148.5,0.55
136.61,29.995,200.4,0.64
136.61,29.996,251.3,0.69
136.61,29.996,502.4,0.84
136.61,29.996,705.4,1.03
136.61,29.996,996.2,1.07
137.15,29.967,18.0,0.63
137.15,29.968,38.3,0.59
137.15,29.968,63.0,0.57
137.15,29.968,82.3,0.62
137.15,29.968,101.9,0.78
137.15,29.968,133.5,0.86
137.15,29.968,183.8,6.43
137.15,29.968,234.0,2.71
137.16,29.968,285.5,3.42
137.16,29.969,471.2,2.12
137.16,29.969,674.0,2.02
137.16,29.97,974.4,2.1
137.76,30.0,14.6,0.41
137.76,30.0,34.6,0.38
137.76,30.0,49.0,0.37
137.75,30.0,68.0,0.34
137.75,30.001,89.6,0.34
137.74,30.001,120.0,0.49
137.73,30.002,170.4,0.6
137.73,30.002,220.4,0.6
137.72,30.002,270.4,0.64
137.7,30.002,441.9,0.72
137.67,30.002,643.4,0.82
137.64,30.003,945.4,1.27
138.8,30.0,16.1,0.43
138.8,30.0,38.8,0.33
138.8,30.0,59.4,0.32
138.8,30.0,78.8,1.12
138.8,30.001,99.6,0.49
138.8,30.001,124.5,0.46
138.8,30.001,150.0,0.46
138.8,30.001,201.1,0.43
138.8,30.001,249.9,0.45
138.8,30.001,501.8,0.61
138.8,30.002,704.4,0.72
138.8,30.002,1006.6,1.04
139.94,29.996,15.7,0.5
139.94,29.996,38.0,0.41
139.94,29.996,64.5,0.31
139.94,29.996,83.7,0.35
139.94,29.996,105.2,0.45
139.94,29.997,136.3,0.6
139.94,29.997,184.7,0.8
139.94,29.997,235.4,0.68
139.94,29.997,285.2,0.64
139.94,29.997,471.8,0.7
139.94,29.997,674.3,0.86
139.94,29.998,977.4,1.01
141.11,30.008,17.4,0.41
141.11,30.008,34.4,0.33
141.11,30.007,49.6,0.27
141.11,30.007,68.9,0.28
141.11,30.007,89.5,0.37
141.11,30.007,119.3,0.51
141.11,30.007,169.6,0.5
141.11,30.007,220.0,0.45
141.11,30.007,271.0,0.58
141.11,30.006,441.4,0.63
141.11,30.005,643.0,0.9
141.11,30.004,946.8,1.43
