,collection,case,stream,variable,path
1574,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103.pop.h.photoC_TOT_zint_100m.201501-206412.nc
1575,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103,pop.h,photoC_TOT_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103.pop.h.photoC_TOT_zint_100m.206501-210012.nc
1576,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101.pop.h.photoC_diat_zint_100m.201501-206412.nc
1577,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101.pop.h.photoC_diat_zint_100m.206501-210012.nc
1578,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102.pop.h.photoC_diat_zint_100m.201501-206412.nc
1579,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.102.pop.h.photoC_diat_zint_100m.206501-210012.nc
1580,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103.pop.h.photoC_diat_zint_100m.201501-206412.nc
1581,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103,pop.h,photoC_diat_zint_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.103.pop.h.photoC_diat_zint_100m.206501-210012.nc
1582,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101.pop.h.POC_FLUX_100m.201501-206412.nc
1583,epoch_mean,b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101,pop.h,POC_FLUX_100m,/glade/campaign/collections/cmip/CMIP6/timeseries-cmip6/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101/ocn/proc/tseries/month_1/b.e21.BSSP370cmip6.f09_g17.CMIP6-SSP3-7.0.101.pop.h.POC_FLUX_100m.206501-210012.nc
